"Keyword","Impressions","Clicks","CTR","Avg. Position"
"anef","8692","14","0.16%","7.131610780027612"
"ants permis","1267","4","0.32%","6.507523993685872"
"ants","928","0","0%","6.150883189655172"
"regroupement familial","850","9","1.06%","5.524702235294117"
"ants permis de conduire","561","1","0.18%","7.96969661319073"
"campus france","531","0","0%","6.770224858757063"
"enic naric","502","6","1.2%","5.065750398406374"
"enic naric reconnaissance des diplômes","423","3","0.71%","4.4893565011820336"
"ofpra","388","1","0.26%","5.889176546391753"
"enic-naric","373","3","0.8%","4.584454959785523"
"cra","305","0","0%","4.622947868852458"
"naturalisation","300","0","0%","5.673331666666666"
"anef mon compte","289","0","0%","9.283739792387543"
"formulaire ants permis","257","0","0%","7.984437354085602"
"compte anef","257","0","0%","6.922185603112841"
"demande de naturalisation","243","0","0%","6.683156790123456"
"passeport talent salaire minimum 2026","227","12","5.29%","2.740079735682819"
"permis de conduire ants gouv","218","1","0.46%","7.821128440366973"
"naturalisation française","197","2","1.02%","5.969545177664975"
"permis de conduire ants","173","0","0%","6.843927167630057"
"passeport talent","146","6","4.11%","3.8424582191780816"
"étranger en france","137","0","0%","5.2992708029197075"
"ants permis de conduire en ligne","131","0","0%","8.427416030534351"
"oqtf","114","1","0.88%","5.473668421052632"
"cnda","112","0","0%","5.4643"
"timbre fiscal titre de séjour","65","0","0%","7.323083076923076"
"anef connexion","63","0","0%","8.968244444444442"
"autorisation d'installation en france regroupement familial","61","0","0%","4"
"renouvellement titre de sejour","61","1","1.6400000000000001%","8.754108196721312"
"examen civique","59","4","6.78%","9.339008474576271"
"enic-naric france","58","0","0%","4.6896517241379305"
"eric naric","58","0","0%","5.465506896551724"
"test civique 2026","57","4","7.0200000000000005%","9.368401754385966"
"test civique","53","1","1.8900000000000001%","7.603784905660377"
"études en france","48","0","0%","7.020829166666666"
"nationalité française","47","0","0%","5.978757446808511"
"étude en france","46","0","0%","9.000008695652173"
"anef étranger","43","0","0%","7.6279"
"attestation d'accueil","43","3","6.98%","5.9535"
"anef  créer un compte","43","0","0%","5.27906976744186"
"niveau de langue","41","0","0%","6.999960975609756"
"titre de sejour","35","0","0%","7.285714285714286"
"passeport talent salaire","35","3","8.57%","2.65716"
"demande de nationalité française","35","0","0%","7.942857142857143"
"anef titre de séjour","31","0","0%","7.741941935483871"
"récépissé","28","0","0%","3.9643"
"carte sejour","23","1","4.3500000000000005%","6.478252173913043"
"carte de résident 10 ans","23","3","13.040000000000001%","3.4347913043478258"
"anef titre de sejour","20","0","0%","7.149995"
"renouvellement carte de séjour","20","2","10%","6.799980000000001"
"carte de sejour","19","0","0%","4.842121052631579"
"caf france","19","0","0%","6.368447368421052"
"demande de nationalite francaise","18","0","0%","6.7222"
"delf","18","0","0%","7.0555"
"attestation perte titre de séjour","17","0","0%","7"
"examen civique france 2026","17","0","0%","8.8235"
"anef compte","17","0","0%","7"
"naturalisation francaise","15","0","0%","5.999979999999999"
"ants.gouv.fr permis de conduire","15","0","0%","9.06664"
"changement de statut étudiant salarié","14","0","0%","6.2857"
"carte de séjour","14","0","0%","4.5714"
