"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.testciviquefrance.fr/articles/renouvellement-titre-sejour-2026-anef-prefecture-documents-delais","8434","22","0.26%","7.197170950912971"
"https://www.testciviquefrance.fr/articles/echanger-permis-conduire-etranger-france-2026-ants-demarches","5070","26","0.51%","6.603571124260355"
"https://www.testciviquefrance.fr/articles/reconnaissance-diplomes-etrangers-france-2026-enic-naric-equivalences","4139","58","1.4000000000000001%","4.734480889103649"
"https://www.testciviquefrance.fr/articles/guide-anef-complet-2026-creer-compte-deposer-demande","2940","22","0.75%","6.876880170068027"
"https://www.testciviquefrance.fr/articles/regroupement-familial-france-2026-guide-complet-conditions-documents-delais","2768","50","1.81%","6.092496820809248"
"https://www.testciviquefrance.fr/articles/naturalisation-francaise-2026-delais-conditions-pieges-dossier-complet","2746","49","1.78%","6.428637909686819"
"https://www.testciviquefrance.fr/articles/declaration-impots-etrangers-france-2026-guide-pratique-formulaires-dates-remboursement","2267","85","3.75%","6.035726951918836"
"https://www.testciviquefrance.fr/articles/passeport-talent-france-2026-guide-complet-10-categories-famille-naturalisation","1972","79","4.01%","3.9731246450304263"
"https://www.testciviquefrance.fr/articles/etudiant-etranger-france-2026-visa-campus-france-travail-famille-droit-rester","1821","12","0.66%","6.779230258099945"
"https://www.testciviquefrance.fr/articles/hausse-frais-titre-sejour-2026-nouveaux-tarifs-timbres-fiscaux","1261","74","5.87%","5.344955273592387"
"https://www.testciviquefrance.fr/articles/test-civique-gratuit-en-ligne-2026-examen-blanc-entrainement-qcm","1093","32","2.93%","7.321140164684355"
"https://www.testciviquefrance.fr/articles/aides-sociales-etrangers-france-2026-caf-rsa-apl-prime-activite","1090","26","2.39%","6.0009060550458715"
"https://www.testciviquefrance.fr/articles/centres-agrees-examen-civique-2026","1010","43","4.26%","5.637621386138614"
"https://www.testciviquefrance.fr/articles/carte-de-sejour-france-2026-guide-complet-types-demarches-renouvellement","991","20","2.02%","6.240146720484359"
"https://www.testciviquefrance.fr/articles/carte-resident-10-ans-france-2026-conditions-obtention-refus-prefecture","908","32","3.52%","4.994471145374449"
"https://www.testciviquefrance.fr/articles/demande-asile-france-2026-ofpra-cnda-procedure-delais","781","8","1.02%","5.971838796414852"
"https://www.testciviquefrance.fr/articles/recepisse-titre-de-sejour-droits-duree-voyage","739","23","3.11%","5.113656562922869"
"https://www.testciviquefrance.fr/articles/changement-statut-etudiant-salarie-2026-demarches-anef","686","20","2.92%","5.841116472303207"
"https://www.testciviquefrance.fr/articles/attestation-accueil-inviter-famille-france-2026-mairie-conditions","630","5","0.79%","6.5238353968253975"
"https://www.testciviquefrance.fr/articles/visa-long-sejour-vls-ts-validation-ofii-2026","613","12","1.96%","6.362156117455139"
"https://www.testciviquefrance.fr/articles/niveau-de-langue-francais-nationalite-titre-sejour-a2-b1-2026","601","15","2.5%","6.424300665557404"
"https://www.testciviquefrance.fr/articles/cra-retention-etrangers-7-jours-7-mois-2026-droits-recours-expulsion","506","5","0.99%","4.735176679841897"
"https://www.testciviquefrance.fr/articles/hausse-taxes-titres-sejour-mai-2026-nouveaux-tarifs-prefecture-loi-finances","445","21","4.72%","5.301125842696629"
"https://www.testciviquefrance.fr/articles/carte-sejour-pluriannuelle-guide-complet-2025","423","7","1.6500000000000001%","5.988174940898347"
"https://www.testciviquefrance.fr/articles/inscription-test-civique-2026-ou-quand-comment-sinscrire","410","16","3.9%","6.573161219512194"
